"INCIDENT","PENALTY","VICTIM","LOCATION","COUNTRY","WHEN","MOON_NIGHT_BEFORE","YEAR","RESULT","GOALS"
"kick in the butt","Suspended for several games","forward","his team penalty area","Uruguay",16,"Full",1996,"Loss",0
"spit in the face","yellow card","spectator","off field","Uruguay",87,"Full",1996,"Win",1
"kick in the butt","Suspended for several games","journalist","off field","Uruguay",73,"Full",1996,"Win",0
"kick in the butt","Yellow card","None","opponent team penalty area","Uruguay",75,"No Moon",1996,"Loss",2
"finger in the eye","Red Card","forward","midfield","Uruguay",55,"Full",1996,"Loss",1
"bite","Not Caught","forward","off field","Uruguay",5,"No Moon",1996,"Loss",0
"scratch","Red Card","journalist","off field","Uruguay",74,"Full",1996,"Win",1
"scratch","Yellow card","forward","midfield","Uruguay",50,"Full",1996,"Win",1
"scratch","Red Card","goalkeeper","opponent team penalty area","Uruguay",37,"No Moon",1996,"Win",1
"none","None","None","No location","Uruguay",90,"Half",1996,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",1996,"Win",0
"none","None","None","No location","Uruguay",90,"No Moon",1996,"Win",0
"none","None","None","No location","Uruguay",90,"Half",1996,"Draw",0
"bite","Yellow card","defender","his team penalty area","Uruguay",9,"Half",1996,"Win",2
"none","None","None","No location","Uruguay",90,"Full",1996,"Win",1
"kick in the butt","Yellow card","spectator","off field","Uruguay",8,"Half",1996,"Draw",3
"headbutt","Red Card","forward","midfield","Uruguay",39,"No Moon",1996,"Win",0
"scratch","Suspended for several games","spectator","off field","Uruguay",44,"No Moon",1996,"Loss",1
"spit in the face","yellow card","spectator","off field","Uruguay",59,"Full",1996,"Draw",2
"scratch","Not Caught","None","midfield","Uruguay",57,"Full",1996,"Loss",1
"bite","Not Caught","forward","midfield","Uruguay",87,"Full",1996,"Win",2
"scratch","Red Card","None","his team penalty area","Uruguay",81,"No Moon",1996,"Win",0
"scratch","Not Caught","forward","midfield","Uruguay",45,"Full",1996,"Draw",0
"finger in the eye","None","midfielder","off field","Uruguay",9,"Full",1996,"Win",1
"scratch","Yellow card","journalist","off field","Uruguay",80,"Full",1996,"Loss",2
"headbutt","Red Card","midfielder","midfield","Uruguay",18,"No Moon",1996,"Win",2
"finger in the eye","Yellow card","journalist","off field","Uruguay",50,"Half",1996,"Win",2
"finger in the eye","Yellow card","journalist","off field","Uruguay",8,"Half",1996,"Loss",2
"scratch","Suspended for several games","defender","off field","Uruguay",23,"Full",1996,"Draw",2
"headbutt","Not Caught","referee","his team penalty area","Uruguay",81,"Half",1996,"Win",2
"kick in the butt","Suspended for several games","journalist","off field","Uruguay",31,"Full",1996,"Loss",1
"spit in the face","yellow card","referee","opponent team penalty area","Uruguay",23,"Full",1996,"Win",1
"none","None","None","No location","Uruguay",90,"Full",1996,"Draw",2
"none","None","None","No location","Uruguay",90,"Full",1996,"Draw",2
"bite","Red Card","midfielder","his team penalty area","Uruguay",81,"Full",1996,"Win",2
"none","None","None","No location","Uruguay",90,"Full",1996,"Loss",4
"spit in the face","yellow card","referee","midfield","Uruguay",22,"Full",1996,"Win",0
"kick in the butt","Red Card","midfielder","his team penalty area","Uruguay",38,"Full",1996,"Win",2
"bite","Red Card","spectator","off field","Uruguay",30,"Half",1996,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",1996,"Loss",0
"finger in the eye","Red Card","midfielder","his team penalty area","Uruguay",46,"Half",1996,"Loss",1
"spit in the face","yellow card","defender","opponent team penalty area","Uruguay",24,"Full",1996,"Win",1
"bite","Suspended for several games","referee","midfield","Uruguay",12,"Full",1996,"Loss",1
"finger in the eye","Yellow card","journalist","off field","Uruguay",35,"Half",1996,"Loss",1
"bite","None","defender","opponent team penalty area","Uruguay",81,"Full",1996,"Win",0
"none","None","None","No location","Uruguay",90,"Half",1996,"Win",1
"none","None","None","No location","Uruguay",90,"Half",1996,"Win",2
"bite","Yellow card","journalist","off field","Uruguay",82,"Half",1996,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",1996,"Loss",1
"kick in the butt","None","journalist","off field","Uruguay",8,"Full",1996,"Loss",1
"headbutt","None","defender","his team penalty area","Uruguay",48,"No Moon",1996,"Loss",2
"none","None","None","No location","Uruguay",90,"Full",1996,"Draw",1
"bite","None","spectator","off field","Uruguay",41,"Full",1996,"Draw",1
"headbutt","Suspended for several games","spectator","off field","Uruguay",0,"Half",1996,"Win",0
"bite","Red Card","goalkeeper","his team penalty area","Uruguay",65,"Full",1996,"Loss",1
"bite","Yellow card","goalkeeper","opponent team penalty area","Uruguay",54,"No Moon",1996,"Draw",0
"finger in the eye","Yellow card","journalist","off field","Uruguay",36,"No Moon",1996,"Draw",0
"finger in the eye","Suspended for several games","forward","opponent team penalty area","Uruguay",59,"No Moon",1997,"Draw",0
"none","None","None","No location","Uruguay",90,"No Moon",1997,"Loss",0
"scratch","Suspended for several games","midfielder","opponent team penalty area","Uruguay",30,"Half",1997,"Draw",0
"finger in the eye","Red Card","forward","midfield","Uruguay",35,"Full",1997,"Loss",1
"kick in the butt","Suspended for several games","journalist","off field","Uruguay",45,"Full",1997,"Win",2
"finger in the eye","Red Card","goalkeeper","opponent team penalty area","Uruguay",15,"No Moon",1997,"Win",0
"finger in the eye","Not Caught","forward","off field","Uruguay",21,"No Moon",1997,"Draw",2
"none","None","None","No location","Uruguay",90,"Half",1997,"Loss",1
"finger in the eye","Yellow card","defender","opponent team penalty area","Uruguay",63,"Full",1997,"Win",0
"none","None","None","No location","Uruguay",90,"Full",1997,"Draw",0
"scratch","Not Caught","midfielder","his team penalty area","Uruguay",38,"Full",1997,"Draw",2
"kick in the butt","Yellow card","None","his team penalty area","Uruguay",1,"Full",1997,"Win",1
"spit in the face","yellow card","defender","midfield","Uruguay",85,"Full",1997,"Loss",0
"scratch","Not Caught","journalist","off field","Uruguay",19,"Full",1997,"Draw",0
"kick in the butt","Red Card","spectator","off field","Uruguay",55,"Full",1997,"Win",1
"none","None","None","No location","Uruguay",90,"Full",1997,"Draw",2
"bite","Suspended for several games","referee","opponent team penalty area","Uruguay",85,"No Moon",1997,"Win",0
"kick in the butt","Not Caught","midfielder","off field","Uruguay",73,"Full",1997,"Win",0
"none","None","None","No location","Uruguay",90,"Full",1997,"Win",2
"scratch","Yellow card","midfielder","opponent team penalty area","Uruguay",44,"Half",1997,"Loss",1
"none","None","None","No location","Uruguay",90,"Full",1997,"Win",0
"scratch","Suspended for several games","journalist","off field","Uruguay",62,"No Moon",1997,"Draw",1
"scratch","Red Card","journalist","off field","Uruguay",56,"Full",1997,"Loss",0
"bite","Suspended for several games","referee","opponent team penalty area","Uruguay",9,"Full",1997,"Win",2
"headbutt","Not Caught","goalkeeper","midfield","Uruguay",54,"No Moon",1997,"Draw",0
"scratch","None","referee","off field","Uruguay",86,"Full",1997,"Loss",0
"finger in the eye","Suspended for several games","forward","his team penalty area","Uruguay",45,"Half",1997,"Draw",0
"kick in the butt","Yellow card","referee","his team penalty area","Uruguay",3,"No Moon",1997,"Loss",2
"none","None","None","No location","Uruguay",90,"Full",1997,"Win",2
"finger in the eye","Suspended for several games","None","off field","Uruguay",0,"Full",1997,"Win",1
"spit in the face","yellow card","spectator","off field","Uruguay",15,"No Moon",1997,"Draw",0
"spit in the face","yellow card","referee","opponent team penalty area","Uruguay",14,"Half",1997,"Win",2
"spit in the face","yellow card","midfielder","his team penalty area","Uruguay",78,"Full",1997,"Loss",1
"bite","Suspended for several games","referee","his team penalty area","Uruguay",11,"Half",1997,"Draw",1
"bite","Suspended for several games","goalkeeper","off field","Uruguay",12,"Full",1997,"Loss",3
"bite","Not Caught","defender","off field","Uruguay",33,"No Moon",1997,"Loss",0
"spit in the face","yellow card","forward","off field","Uruguay",34,"Full",1997,"Win",0
"scratch","Suspended for several games","referee","opponent team penalty area","Uruguay",24,"No Moon",1997,"Loss",0
"finger in the eye","Suspended for several games","forward","his team penalty area","Uruguay",62,"Half",1997,"Win",1
"headbutt","Suspended for several games","forward","opponent team penalty area","Uruguay",74,"Full",1997,"Loss",3
"none","None","None","No location","Uruguay",90,"Full",1997,"Draw",2
"bite","Yellow card","None","midfield","Uruguay",86,"Half",1997,"Loss",0
"kick in the butt","Suspended for several games","forward","opponent team penalty area","Uruguay",31,"No Moon",1997,"Loss",2
"finger in the eye","None","forward","his team penalty area","Uruguay",7,"Full",1997,"Win",1
"bite","Not Caught","journalist","off field","Uruguay",85,"Full",1997,"Win",0
"spit in the face","yellow card","goalkeeper","his team penalty area","Uruguay",78,"Full",1997,"Draw",0
"bite","Yellow card","forward","off field","Uruguay",87,"Full",1997,"Loss",0
"headbutt","Not Caught","defender","midfield","Uruguay",17,"Full",1997,"Win",1
"scratch","Suspended for several games","defender","midfield","Uruguay",77,"No Moon",1997,"Win",2
"headbutt","Suspended for several games","goalkeeper","his team penalty area","Uruguay",2,"Half",1997,"Loss",0
"headbutt","Not Caught","forward","his team penalty area","Uruguay",55,"Half",1997,"Win",0
"spit in the face","yellow card","referee","opponent team penalty area","Uruguay",32,"Full",1997,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",1997,"Win",0
"bite","None","None","midfield","Uruguay",32,"Full",1997,"Loss",0
"spit in the face","yellow card","journalist","off field","Uruguay",62,"Full",1997,"Win",2
"none","None","None","No location","Uruguay",90,"Half",1997,"Loss",2
"kick in the butt","None","goalkeeper","off field","Uruguay",57,"No Moon",1997,"Loss",0
"kick in the butt","Not Caught","forward","midfield","Uruguay",49,"Half",1997,"Loss",0
"kick in the butt","Suspended for several games","journalist","off field","Uruguay",44,"No Moon",1997,"Win",1
"none","None","None","No location","Uruguay",90,"Full",1997,"Draw",0
"finger in the eye","Red Card","midfielder","off field","Uruguay",42,"No Moon",1997,"Win",2
"kick in the butt","Yellow card","goalkeeper","midfield","Uruguay",68,"No Moon",1997,"Draw",1
"finger in the eye","Suspended for several games","journalist","off field","Uruguay",43,"No Moon",1997,"Draw",1
"bite","Not Caught","spectator","off field","Uruguay",46,"Half",1997,"Win",0
"kick in the butt","Red Card","midfielder","his team penalty area","Uruguay",28,"Full",1997,"Win",0
"kick in the butt","Red Card","midfielder","opponent team penalty area","Uruguay",75,"Full",1997,"Win",1
"headbutt","Yellow card","midfielder","his team penalty area","Uruguay",58,"Full",1997,"Win",1
"none","None","None","No location","Uruguay",90,"Half",1997,"Draw",0
"bite","Red Card","goalkeeper","his team penalty area","Uruguay",77,"Full",1997,"Win",0
"none","None","None","No location","Uruguay",90,"Full",1997,"Loss",1
"none","None","None","No location","Uruguay",90,"Half",1997,"Loss",1
"finger in the eye","Red Card","midfielder","off field","Uruguay",85,"No Moon",1997,"Win",0
"bite","Red Card","midfielder","opponent team penalty area","Uruguay",52,"Half",1997,"Loss",1
"bite","Suspended for several games","defender","midfield","Uruguay",84,"Half",1997,"Win",1
"scratch","Suspended for several games","spectator","off field","Uruguay",78,"Half",1997,"Draw",2
"kick in the butt","Not Caught","spectator","off field","Uruguay",52,"Half",1997,"Win",1
"finger in the eye","None","defender","midfield","Uruguay",16,"Half",1997,"Draw",4
"none","None","None","No location","Uruguay",90,"No Moon",1997,"Draw",1
"bite","Yellow card","referee","off field","Uruguay",81,"Half",1997,"Draw",3
"spit in the face","yellow card","forward","midfield","Uruguay",50,"Half",1997,"Win",1
"bite","Not Caught","referee","his team penalty area","Uruguay",82,"Full",1997,"Loss",1
"bite","Yellow card","goalkeeper","opponent team penalty area","Uruguay",77,"No Moon",1997,"Win",3
"spit in the face","yellow card","spectator","off field","Uruguay",62,"Full",1997,"Draw",1
"finger in the eye","Suspended for several games","midfielder","off field","Uruguay",5,"Full",1997,"Win",0
"spit in the face","yellow card","forward","opponent team penalty area","Uruguay",38,"No Moon",1997,"Loss",0
"scratch","Suspended for several games","journalist","off field","Uruguay",46,"No Moon",1997,"Draw",1
"kick in the butt","Yellow card","journalist","off field","Uruguay",84,"Half",1998,"Win",1
"none","None","None","No location","Uruguay",90,"Half",1998,"Win",2
"spit in the face","yellow card","midfielder","his team penalty area","Uruguay",35,"Half",1998,"Draw",1
"kick in the butt","Not Caught","forward","opponent team penalty area","Uruguay",57,"Full",1998,"Win",2
"none","None","None","No location","Uruguay",90,"Full",1998,"Win",2
"none","None","None","No location","Uruguay",90,"Half",1998,"Win",0
"kick in the butt","Not Caught","forward","off field","Uruguay",39,"Half",1998,"Draw",0
"spit in the face","yellow card","goalkeeper","off field","Uruguay",58,"Full",1998,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",1998,"Loss",3
"scratch","Suspended for several games","spectator","off field","Uruguay",23,"No Moon",1998,"Draw",0
"scratch","Red Card","midfielder","midfield","Uruguay",78,"No Moon",1998,"Loss",0
"kick in the butt","Yellow card","referee","opponent team penalty area","Uruguay",19,"Full",1998,"Win",2
"headbutt","Suspended for several games","goalkeeper","his team penalty area","Uruguay",10,"Full",1998,"Win",3
"scratch","Not Caught","journalist","off field","Uruguay",2,"Full",1998,"Draw",3
"bite","Not Caught","goalkeeper","opponent team penalty area","Uruguay",85,"Full",1998,"Loss",0
"bite","Suspended for several games","journalist","off field","Uruguay",4,"Full",1998,"Loss",2
"scratch","Not Caught","spectator","off field","Uruguay",76,"Half",1998,"Win",2
"finger in the eye","Yellow card","forward","midfield","Uruguay",58,"No Moon",1998,"Loss",1
"none","None","None","No location","Uruguay",90,"Full",1998,"Win",2
"headbutt","Yellow card","referee","opponent team penalty area","Uruguay",32,"No Moon",1998,"Win",2
"kick in the butt","Suspended for several games","spectator","off field","Uruguay",26,"No Moon",1998,"Draw",1
"scratch","Yellow card","goalkeeper","his team penalty area","Uruguay",14,"No Moon",1998,"Draw",0
"finger in the eye","Suspended for several games","None","his team penalty area","Uruguay",61,"Full",1998,"Win",1
"bite","Suspended for several games","defender","midfield","Uruguay",80,"No Moon",1998,"Loss",0
"bite","None","referee","his team penalty area","Uruguay",81,"Full",1998,"Win",3
"headbutt","Yellow card","None","opponent team penalty area","Uruguay",87,"Half",1998,"Draw",0
"bite","Not Caught","goalkeeper","off field","Uruguay",82,"Full",1998,"Win",3
"scratch","Not Caught","defender","midfield","Uruguay",62,"No Moon",1998,"Win",0
"none","None","None","No location","Uruguay",90,"No Moon",1998,"Draw",1
"bite","Not Caught","goalkeeper","his team penalty area","Uruguay",89,"No Moon",1998,"Draw",3
"finger in the eye","Yellow card","journalist","off field","Uruguay",50,"Half",1998,"Loss",1
"scratch","Not Caught","defender","his team penalty area","Uruguay",5,"No Moon",1998,"Draw",0
"none","None","None","No location","Uruguay",90,"Half",1998,"Loss",0
"none","None","None","No location","Uruguay",90,"No Moon",1998,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",1998,"Draw",1
"bite","Not Caught","spectator","off field","Uruguay",47,"Full",1998,"Loss",1
"none","None","None","No location","Uruguay",90,"Full",1998,"Draw",1
"finger in the eye","Suspended for several games","referee","opponent team penalty area","Uruguay",11,"Full",1998,"Loss",0
"bite","Yellow card","forward","off field","Uruguay",88,"Full",1998,"Win",0
"none","None","None","No location","Uruguay",90,"Full",1998,"Win",2
"none","None","None","No location","Uruguay",90,"Full",1998,"Draw",2
"bite","Red Card","referee","midfield","Uruguay",88,"No Moon",1998,"Loss",2
"none","None","None","No location","Uruguay",90,"Full",1998,"Win",0
"none","None","None","No location","Uruguay",90,"Full",1998,"Draw",0
"kick in the butt","Suspended for several games","referee","off field","Uruguay",25,"No Moon",1998,"Loss",1
"none","None","None","No location","Uruguay",90,"Full",1998,"Win",0
"spit in the face","yellow card","journalist","off field","Uruguay",40,"Full",1998,"Win",3
"finger in the eye","Red Card","forward","midfield","Uruguay",65,"Half",1998,"Draw",2
"spit in the face","yellow card","forward","off field","Uruguay",73,"Half",1998,"Loss",1
"none","None","None","No location","Uruguay",90,"Full",1998,"Win",1
"none","None","None","No location","Uruguay",90,"Half",1998,"Draw",3
"scratch","Suspended for several games","goalkeeper","his team penalty area","Uruguay",81,"Full",1998,"Draw",3
"none","None","None","No location","Uruguay",90,"No Moon",1998,"Win",1
"kick in the butt","Not Caught","spectator","off field","Uruguay",24,"No Moon",1998,"Win",0
"scratch","Not Caught","defender","his team penalty area","Uruguay",11,"Full",1998,"Loss",2
"scratch","Not Caught","midfielder","off field","Uruguay",81,"Full",1998,"Loss",0
"none","None","None","No location","Uruguay",90,"Full",1998,"Win",2
"none","None","None","No location","Uruguay",90,"Half",1998,"Win",2
"kick in the butt","Suspended for several games","journalist","off field","Uruguay",42,"Full",1998,"Loss",0
"scratch","Red Card","forward","midfield","Uruguay",89,"No Moon",1998,"Draw",2
"bite","Red Card","journalist","off field","Uruguay",89,"No Moon",1998,"Draw",2
"finger in the eye","Red Card","forward","his team penalty area","Uruguay",83,"Full",1998,"Draw",2
"finger in the eye","Suspended for several games","goalkeeper","off field","Uruguay",37,"Full",1998,"Draw",0
"kick in the butt","None","journalist","off field","Uruguay",40,"Half",1998,"Win",3
"headbutt","Yellow card","midfielder","his team penalty area","Uruguay",24,"Full",1998,"Loss",2
"bite","Not Caught","defender","midfield","Uruguay",90,"Full",1998,"Loss",0
"none","None","None","No location","Uruguay",90,"No Moon",1998,"Win",1
"bite","Yellow card","defender","midfield","Uruguay",84,"Full",1999,"Loss",0
"spit in the face","yellow card","midfielder","midfield","Uruguay",1,"Full",1999,"Win",2
"scratch","Yellow card","journalist","off field","Uruguay",3,"No Moon",1999,"Win",0
"kick in the butt","Suspended for several games","midfielder","opponent team penalty area","Uruguay",47,"Full",1999,"Win",0
"none","None","None","No location","Uruguay",90,"No Moon",1999,"Draw",1
"headbutt","None","referee","midfield","Uruguay",13,"Full",1999,"Win",2
"kick in the butt","Yellow card","referee","midfield","Uruguay",50,"No Moon",1999,"Win",0
"bite","None","journalist","off field","Uruguay",84,"Full",1999,"Win",3
"none","None","None","No location","Uruguay",90,"Full",1999,"Loss",1
"finger in the eye","Not Caught","forward","opponent team penalty area","Uruguay",2,"No Moon",1999,"Win",0
"none","None","None","No location","Uruguay",90,"Full",1999,"Win",2
"scratch","Yellow card","referee","his team penalty area","Uruguay",70,"Full",1999,"Loss",1
"kick in the butt","None","journalist","off field","Uruguay",8,"Full",1999,"Loss",2
"bite","Yellow card","referee","midfield","Uruguay",84,"Full",1999,"Win",2
"bite","None","defender","off field","Uruguay",64,"Half",1999,"Win",1
"none","None","None","No location","Uruguay",90,"Half",1999,"Loss",0
"none","None","None","No location","Uruguay",90,"Half",1999,"Win",0
"bite","Red Card","goalkeeper","opponent team penalty area","Uruguay",87,"No Moon",1999,"Draw",0
"none","None","None","No location","Uruguay",90,"No Moon",1999,"Loss",2
"headbutt","Red Card","goalkeeper","his team penalty area","Uruguay",70,"Full",1999,"Loss",1
"bite","Red Card","goalkeeper","off field","Uruguay",84,"No Moon",1999,"Win",0
"scratch","Yellow card","goalkeeper","off field","Uruguay",48,"No Moon",1999,"Loss",2
"none","None","None","No location","Uruguay",90,"No Moon",1999,"Win",1
"scratch","Red Card","journalist","off field","Uruguay",90,"Full",1999,"Draw",3
"bite","Red Card","spectator","off field","Uruguay",3,"No Moon",1999,"Win",1
"kick in the butt","None","referee","off field","Uruguay",40,"Full",1999,"Draw",2
"none","None","None","No location","Uruguay",90,"Full",1999,"Win",1
"bite","None","referee","midfield","Uruguay",81,"Full",1999,"Win",1
"none","None","None","No location","Uruguay",90,"Half",1999,"Draw",1
"finger in the eye","Not Caught","goalkeeper","opponent team penalty area","Uruguay",9,"Full",1999,"Win",1
"bite","Yellow card","spectator","off field","Uruguay",81,"Full",1999,"Win",1
"bite","Red Card","defender","midfield","Uruguay",79,"Full",1999,"Win",1
"kick in the butt","Not Caught","spectator","off field","Uruguay",74,"Full",1999,"Draw",1
"bite","Red Card","forward","his team penalty area","Uruguay",86,"Full",1999,"Win",0
"bite","Yellow card","goalkeeper","midfield","Uruguay",66,"Full",1999,"Win",2
"bite","Not Caught","None","midfield","Uruguay",1,"Half",1999,"Loss",0
"none","None","None","No location","Uruguay",90,"Full",1999,"Loss",1
"finger in the eye","Suspended for several games","forward","midfield","Uruguay",73,"Full",1999,"Draw",1
"spit in the face","yellow card","journalist","off field","Uruguay",31,"Half",1999,"Loss",2
"bite","Suspended for several games","journalist","off field","Uruguay",80,"No Moon",1999,"Win",1
"none","None","None","No location","Uruguay",90,"Full",1999,"Win",0
"finger in the eye","Yellow card","referee","midfield","Uruguay",74,"Full",1999,"Win",0
"bite","None","referee","off field","Uruguay",88,"No Moon",1999,"Win",2
"bite","Suspended for several games","forward","off field","Uruguay",11,"Full",1999,"Win",0
"finger in the eye","Red Card","goalkeeper","off field","Uruguay",47,"No Moon",1999,"Win",1
"finger in the eye","Yellow card","goalkeeper","opponent team penalty area","Uruguay",22,"Half",1999,"Loss",2
"bite","Red Card","defender","off field","Uruguay",11,"Full",1999,"Win",0
"none","None","None","No location","Uruguay",90,"Full",1999,"Draw",0
"spit in the face","yellow card","None","midfield","Uruguay",16,"Full",1999,"Loss",1
"bite","Not Caught","referee","off field","Uruguay",83,"No Moon",1999,"Loss",3
"bite","Red Card","goalkeeper","off field","Uruguay",83,"Full",1999,"Win",1
"spit in the face","yellow card","referee","his team penalty area","Uruguay",37,"Full",1999,"Win",1
"bite","Suspended for several games","None","off field","Uruguay",62,"Half",1999,"Loss",2
"bite","Suspended for several games","goalkeeper","off field","Uruguay",85,"Full",1999,"Win",0
"none","None","None","No location","Uruguay",90,"No Moon",1999,"Win",2
"headbutt","Suspended for several games","journalist","off field","Uruguay",5,"Full",1999,"Win",0
"headbutt","Not Caught","journalist","off field","Uruguay",49,"No Moon",1999,"Loss",2
"kick in the butt","Not Caught","goalkeeper","opponent team penalty area","Uruguay",28,"No Moon",1999,"Draw",1
"none","None","None","No location","Uruguay",90,"No Moon",1999,"Win",1
"bite","Not Caught","journalist","off field","Uruguay",90,"Half",1999,"Loss",1
"bite","Not Caught","journalist","off field","Uruguay",88,"No Moon",1999,"Loss",1
"finger in the eye","Red Card","defender","off field","Uruguay",35,"Full",1999,"Draw",1
"bite","Red Card","forward","midfield","Uruguay",80,"No Moon",1999,"Win",0
"finger in the eye","None","referee","midfield","Uruguay",59,"Half",1999,"Win",2
"none","None","None","No location","Uruguay",90,"Half",1999,"Draw",3
"none","None","None","No location","Uruguay",90,"Half",1999,"Draw",4
"kick in the butt","None","referee","off field","Uruguay",10,"No Moon",1999,"Draw",0
"none","None","None","No location","Uruguay",90,"Full",1999,"Win",1
"scratch","Suspended for several games","spectator","off field","Uruguay",45,"No Moon",1999,"Draw",1
"finger in the eye","Red Card","goalkeeper","midfield","Uruguay",25,"Half",1999,"Win",0
"finger in the eye","Red Card","goalkeeper","off field","Uruguay",32,"No Moon",1999,"Loss",2
"spit in the face","yellow card","defender","midfield","Uruguay",4,"Full",1999,"Loss",1
"kick in the butt","Yellow card","referee","opponent team penalty area","Uruguay",45,"No Moon",1999,"Draw",1
"none","None","None","No location","Uruguay",90,"No Moon",1999,"Win",0
"bite","Red Card","forward","midfield","Uruguay",87,"Full",1999,"Loss",1
"bite","Red Card","defender","midfield","Uruguay",83,"Full",1999,"Draw",0
"none","None","None","No location","Uruguay",90,"Full",1999,"Win",2
"kick in the butt","Yellow card","forward","opponent team penalty area","Uruguay",40,"No Moon",1999,"Win",0
"spit in the face","yellow card","spectator","off field","Uruguay",35,"Half",1999,"Loss",2
"none","None","None","No location","Uruguay",90,"Full",1999,"Win",1
"scratch","Red Card","journalist","off field","Uruguay",20,"Full",1999,"Draw",0
"finger in the eye","Suspended for several games","journalist","off field","Uruguay",76,"Full",1999,"Win",0
"finger in the eye","Yellow card","defender","opponent team penalty area","Uruguay",35,"Full",1999,"Draw",1
"finger in the eye","Yellow card","midfielder","his team penalty area","Uruguay",20,"Full",1999,"Draw",0
"bite","Red Card","forward","opponent team penalty area","Uruguay",84,"No Moon",1999,"Draw",0
"scratch","Yellow card","defender","midfield","Uruguay",89,"No Moon",1999,"Win",0
"bite","None","spectator","off field","Uruguay",71,"Full",1999,"Loss",0
"headbutt","Red Card","midfielder","opponent team penalty area","Uruguay",55,"No Moon",1999,"Draw",1
"none","None","None","No location","Uruguay",90,"No Moon",1999,"Loss",0
"bite","None","goalkeeper","his team penalty area","Uruguay",87,"Half",1999,"Loss",2
"none","None","None","No location","Uruguay",90,"Half",1999,"Win",1
"headbutt","Not Caught","goalkeeper","his team penalty area","Uruguay",13,"No Moon",1999,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",1999,"Win",1
"bite","Not Caught","spectator","off field","Uruguay",75,"Half",1999,"Loss",0
"finger in the eye","Yellow card","forward","opponent team penalty area","Uruguay",88,"No Moon",1999,"Win",1
"none","None","None","No location","Uruguay",90,"Full",1999,"Draw",1
"bite","Suspended for several games","defender","his team penalty area","Uruguay",81,"No Moon",2000,"Loss",2
"finger in the eye","Yellow card","forward","off field","Uruguay",30,"Full",2000,"Win",0
"scratch","Not Caught","midfielder","off field","Uruguay",23,"Half",2000,"Win",0
"spit in the face","yellow card","journalist","off field","Uruguay",0,"Full",2000,"Loss",0
"spit in the face","yellow card","referee","opponent team penalty area","Uruguay",2,"Half",2000,"Draw",1
"none","None","None","No location","Uruguay",90,"No Moon",2000,"Loss",2
"bite","Suspended for several games","defender","midfield","Uruguay",86,"No Moon",2000,"Loss",1
"scratch","Yellow card","journalist","off field","Uruguay",24,"No Moon",2000,"Win",1
"kick in the butt","Suspended for several games","midfielder","his team penalty area","Uruguay",42,"No Moon",2000,"Loss",2
"bite","Red Card","spectator","off field","Uruguay",84,"No Moon",2000,"Win",2
"scratch","Suspended for several games","forward","opponent team penalty area","Uruguay",37,"No Moon",2000,"Draw",3
"spit in the face","yellow card","midfielder","off field","Uruguay",1,"Full",2000,"Loss",0
"scratch","Suspended for several games","spectator","off field","Uruguay",10,"Full",2000,"Win",0
"bite","Yellow card","spectator","off field","Uruguay",48,"Half",2000,"Win",2
"kick in the butt","Not Caught","None","opponent team penalty area","Uruguay",23,"Full",2000,"Win",0
"kick in the butt","Suspended for several games","journalist","off field","Uruguay",25,"Half",2000,"Win",1
"none","None","None","No location","Uruguay",90,"Full",2000,"Win",0
"none","None","None","No location","Uruguay",90,"Full",2000,"Win",3
"bite","Red Card","forward","off field","Uruguay",89,"Full",2000,"Win",1
"none","None","None","No location","Uruguay",90,"Full",2000,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",2000,"Win",0
"bite","Suspended for several games","forward","his team penalty area","Uruguay",4,"Full",2000,"Win",2
"spit in the face","yellow card","goalkeeper","opponent team penalty area","Uruguay",45,"Full",2000,"Draw",1
"none","None","None","No location","Uruguay",90,"No Moon",2000,"Loss",2
"kick in the butt","Suspended for several games","referee","off field","Uruguay",53,"Full",2000,"Loss",1
"headbutt","Suspended for several games","forward","off field","Uruguay",3,"Half",2000,"Loss",2
"scratch","Yellow card","spectator","off field","Uruguay",71,"Full",2000,"Win",0
"spit in the face","yellow card","journalist","off field","Uruguay",8,"Half",2000,"Draw",1
"finger in the eye","Red Card","None","his team penalty area","Uruguay",41,"No Moon",2000,"Win",2
"bite","Red Card","referee","midfield","Uruguay",85,"Full",2000,"Win",2
"bite","Not Caught","journalist","off field","Uruguay",16,"Full",2000,"Win",1
"finger in the eye","Red Card","goalkeeper","off field","Uruguay",89,"Half",2000,"Win",0
"finger in the eye","Not Caught","spectator","off field","Uruguay",23,"Full",2000,"Loss",1
"kick in the butt","Suspended for several games","defender","opponent team penalty area","Uruguay",24,"Full",2000,"Draw",0
"spit in the face","yellow card","midfielder","his team penalty area","Uruguay",72,"No Moon",2000,"Loss",0
"none","None","None","No location","Uruguay",90,"Half",2000,"Win",2
"none","None","None","No location","Uruguay",90,"No Moon",2000,"Draw",3
"kick in the butt","None","forward","off field","Uruguay",20,"Full",2000,"Win",0
"scratch","Red Card","journalist","off field","Uruguay",78,"Half",2000,"Win",1
