ID,INCIDENT,PENALTY,VICTIM,LOCATION,COUNTRY,WHEN,MOON_NIGHT_BEFORE,YEAR,RESULT,GOALS
356,bite,Yellow card,defender,his team penalty area,Uruguay,9,Half,1996,Win,2
357,not bite,None,None,No location,Uruguay,90,Full,1996,Win,1
358,not bite,Yellow card,spectator,off field,Uruguay,8,Half,1996,Draw,3
359,not bite,Red Card,forward,midfield,Uruguay,39,No Moon,1996,Win,0
360,not bite,Suspended for several games,spectator,off field,Uruguay,44,No Moon,1996,Loss,1
361,not bite,yellow card,spectator,off field,Uruguay,59,Full,1996,Draw,2
362,not bite,Not Caught,None,midfield,Uruguay,57,Full,1996,Loss,1
363,bite,Not Caught,forward,midfield,Uruguay,87,Full,1996,Win,2
364,not bite,Red Card,None,his team penalty area,Uruguay,81,No Moon,1996,Win,0
365,not bite,Not Caught,forward,midfield,Uruguay,45,Full,1996,Draw,0
366,not bite,None,midfielder,off field,Uruguay,9,Full,1996,Win,1
367,not bite,Yellow card,journalist,off field,Uruguay,80,Full,1996,Loss,2
368,not bite,Red Card,midfielder,midfield,Uruguay,18,No Moon,1996,Win,2
369,not bite,Yellow card,journalist,off field,Uruguay,50,Half,1996,Win,2
370,not bite,Yellow card,journalist,off field,Uruguay,8,Half,1996,Loss,2
371,not bite,Suspended for several games,defender,off field,Uruguay,23,Full,1996,Draw,2
372,not bite,Not Caught,referee,his team penalty area,Uruguay,81,Half,1996,Win,2
373,not bite,Suspended for several games,journalist,off field,Uruguay,31,Full,1996,Loss,1
374,not bite,yellow card,referee,opponent team penalty area,Uruguay,23,Full,1996,Win,1
375,not bite,None,None,No location,Uruguay,90,Full,1996,Draw,2
376,not bite,None,None,No location,Uruguay,90,Full,1996,Draw,2
377,bite,Red Card,midfielder,his team penalty area,Uruguay,81,Full,1996,Win,2
378,not bite,None,None,No location,Uruguay,90,Full,1996,Loss,4
379,not bite,yellow card,referee,midfield,Uruguay,22,Full,1996,Win,0
380,not bite,Red Card,midfielder,his team penalty area,Uruguay,38,Full,1996,Win,2
381,bite,Red Card,spectator,off field,Uruguay,30,Half,1996,Win,1
382,not bite,None,None,No location,Uruguay,90,No Moon,1996,Loss,0
383,not bite,Red Card,midfielder,his team penalty area,Uruguay,46,Half,1996,Loss,1
384,not bite,yellow card,defender,opponent team penalty area,Uruguay,24,Full,1996,Win,1
385,bite,Suspended for several games,referee,midfield,Uruguay,12,Full,1996,Loss,1
386,not bite,Yellow card,journalist,off field,Uruguay,35,Half,1996,Loss,1
387,bite,None,defender,opponent team penalty area,Uruguay,81,Full,1996,Win,0
388,not bite,None,None,No location,Uruguay,90,Half,1996,Win,1
389,not bite,None,None,No location,Uruguay,90,Half,1996,Win,2
390,bite,Yellow card,journalist,off field,Uruguay,82,Half,1996,Win,1
391,not bite,None,None,No location,Uruguay,90,No Moon,1996,Loss,1
392,not bite,None,journalist,off field,Uruguay,8,Full,1996,Loss,1
393,not bite,None,defender,his team penalty area,Uruguay,48,No Moon,1996,Loss,2
394,not bite,None,None,No location,Uruguay,90,Full,1996,Draw,1
395,bite,None,spectator,off field,Uruguay,41,Full,1996,Draw,1
396,not bite,Suspended for several games,spectator,off field,Uruguay,0,Half,1996,Win,0
397,bite,Red Card,goalkeeper,his team penalty area,Uruguay,65,Full,1996,Loss,1
398,bite,Yellow card,goalkeeper,opponent team penalty area,Uruguay,54,No Moon,1996,Draw,0
399,not bite,Yellow card,journalist,off field,Uruguay,36,No Moon,1996,Draw,0
400,not bite,Suspended for several games,forward,opponent team penalty area,Uruguay,59,No Moon,1997,Draw,0
401,not bite,None,None,No location,Uruguay,90,No Moon,1997,Loss,0
402,not bite,Suspended for several games,midfielder,opponent team penalty area,Uruguay,30,Half,1997,Draw,0
403,not bite,Red Card,forward,midfield,Uruguay,35,Full,1997,Loss,1
404,not bite,Suspended for several games,journalist,off field,Uruguay,45,Full,1997,Win,2
405,not bite,Red Card,goalkeeper,opponent team penalty area,Uruguay,15,No Moon,1997,Win,0
406,not bite,Not Caught,forward,off field,Uruguay,21,No Moon,1997,Draw,2
407,not bite,None,None,No location,Uruguay,90,Half,1997,Loss,1
408,not bite,Yellow card,defender,opponent team penalty area,Uruguay,63,Full,1997,Win,0
409,not bite,None,None,No location,Uruguay,90,Full,1997,Draw,0
410,not bite,Not Caught,midfielder,his team penalty area,Uruguay,38,Full,1997,Draw,2
411,not bite,Yellow card,None,his team penalty area,Uruguay,1,Full,1997,Win,1
412,not bite,yellow card,defender,midfield,Uruguay,85,Full,1997,Loss,0
413,not bite,Not Caught,journalist,off field,Uruguay,19,Full,1997,Draw,0
414,not bite,Red Card,spectator,off field,Uruguay,55,Full,1997,Win,1
415,not bite,None,None,No location,Uruguay,90,Full,1997,Draw,2
416,bite,Suspended for several games,referee,opponent team penalty area,Uruguay,85,No Moon,1997,Win,0
417,not bite,Not Caught,midfielder,off field,Uruguay,73,Full,1997,Win,0
418,not bite,None,None,No location,Uruguay,90,Full,1997,Win,2
419,not bite,Yellow card,midfielder,opponent team penalty area,Uruguay,44,Half,1997,Loss,1
420,not bite,None,None,No location,Uruguay,90,Full,1997,Win,0
421,not bite,Suspended for several games,journalist,off field,Uruguay,62,No Moon,1997,Draw,1
422,not bite,Red Card,journalist,off field,Uruguay,56,Full,1997,Loss,0
423,bite,Suspended for several games,referee,opponent team penalty area,Uruguay,9,Full,1997,Win,2
424,not bite,Not Caught,goalkeeper,midfield,Uruguay,54,No Moon,1997,Draw,0
425,not bite,None,referee,off field,Uruguay,86,Full,1997,Loss,0
426,not bite,Suspended for several games,forward,his team penalty area,Uruguay,45,Half,1997,Draw,0
427,not bite,Yellow card,referee,his team penalty area,Uruguay,3,No Moon,1997,Loss,2
428,not bite,None,None,No location,Uruguay,90,Full,1997,Win,2
429,not bite,Suspended for several games,None,off field,Uruguay,0,Full,1997,Win,1
430,not bite,yellow card,spectator,off field,Uruguay,15,No Moon,1997,Draw,0
431,not bite,yellow card,referee,opponent team penalty area,Uruguay,14,Half,1997,Win,2
432,not bite,yellow card,midfielder,his team penalty area,Uruguay,78,Full,1997,Loss,1
433,bite,Suspended for several games,referee,his team penalty area,Uruguay,11,Half,1997,Draw,1
434,bite,Suspended for several games,goalkeeper,off field,Uruguay,12,Full,1997,Loss,3
435,bite,Not Caught,defender,off field,Uruguay,33,No Moon,1997,Loss,0
436,not bite,yellow card,forward,off field,Uruguay,34,Full,1997,Win,0
437,not bite,Suspended for several games,referee,opponent team penalty area,Uruguay,24,No Moon,1997,Loss,0
438,not bite,Suspended for several games,forward,his team penalty area,Uruguay,62,Half,1997,Win,1
439,not bite,Suspended for several games,forward,opponent team penalty area,Uruguay,74,Full,1997,Loss,3
440,not bite,None,None,No location,Uruguay,90,Full,1997,Draw,2
441,bite,Yellow card,None,midfield,Uruguay,86,Half,1997,Loss,0
442,not bite,Suspended for several games,forward,opponent team penalty area,Uruguay,31,No Moon,1997,Loss,2
443,not bite,None,forward,his team penalty area,Uruguay,7,Full,1997,Win,1
444,bite,Not Caught,journalist,off field,Uruguay,85,Full,1997,Win,0
445,not bite,yellow card,goalkeeper,his team penalty area,Uruguay,78,Full,1997,Draw,0
446,bite,Yellow card,forward,off field,Uruguay,87,Full,1997,Loss,0
447,not bite,Not Caught,defender,midfield,Uruguay,17,Full,1997,Win,1
448,not bite,Suspended for several games,defender,midfield,Uruguay,77,No Moon,1997,Win,2
449,not bite,Suspended for several games,goalkeeper,his team penalty area,Uruguay,2,Half,1997,Loss,0
450,not bite,Not Caught,forward,his team penalty area,Uruguay,55,Half,1997,Win,0
451,not bite,yellow card,referee,opponent team penalty area,Uruguay,32,Full,1997,Win,1
452,not bite,None,None,No location,Uruguay,90,No Moon,1997,Win,0
453,bite,None,None,midfield,Uruguay,32,Full,1997,Loss,0
454,not bite,yellow card,journalist,off field,Uruguay,62,Full,1997,Win,2
455,not bite,None,None,No location,Uruguay,90,Half,1997,Loss,2
456,not bite,None,goalkeeper,off field,Uruguay,57,No Moon,1997,Loss,0
457,not bite,Not Caught,forward,midfield,Uruguay,49,Half,1997,Loss,0
458,not bite,Suspended for several games,journalist,off field,Uruguay,44,No Moon,1997,Win,1
459,not bite,None,None,No location,Uruguay,90,Full,1997,Draw,0
460,not bite,Red Card,midfielder,off field,Uruguay,42,No Moon,1997,Win,2
461,not bite,Yellow card,goalkeeper,midfield,Uruguay,68,No Moon,1997,Draw,1
462,not bite,Suspended for several games,journalist,off field,Uruguay,43,No Moon,1997,Draw,1
463,bite,Not Caught,spectator,off field,Uruguay,46,Half,1997,Win,0
464,not bite,Red Card,midfielder,his team penalty area,Uruguay,28,Full,1997,Win,0
465,not bite,Red Card,midfielder,opponent team penalty area,Uruguay,75,Full,1997,Win,1
466,not bite,Yellow card,midfielder,his team penalty area,Uruguay,58,Full,1997,Win,1
467,not bite,None,None,No location,Uruguay,90,Half,1997,Draw,0
468,bite,Red Card,goalkeeper,his team penalty area,Uruguay,77,Full,1997,Win,0
469,not bite,None,None,No location,Uruguay,90,Full,1997,Loss,1
470,not bite,None,None,No location,Uruguay,90,Half,1997,Loss,1
471,not bite,Red Card,midfielder,off field,Uruguay,85,No Moon,1997,Win,0
472,bite,Red Card,midfielder,opponent team penalty area,Uruguay,52,Half,1997,Loss,1
473,bite,Suspended for several games,defender,midfield,Uruguay,84,Half,1997,Win,1
474,not bite,Suspended for several games,spectator,off field,Uruguay,78,Half,1997,Draw,2
475,not bite,Not Caught,spectator,off field,Uruguay,52,Half,1997,Win,1
476,not bite,None,defender,midfield,Uruguay,16,Half,1997,Draw,4
477,not bite,None,None,No location,Uruguay,90,No Moon,1997,Draw,1
478,bite,Yellow card,referee,off field,Uruguay,81,Half,1997,Draw,3
479,not bite,yellow card,forward,midfield,Uruguay,50,Half,1997,Win,1
480,bite,Not Caught,referee,his team penalty area,Uruguay,82,Full,1997,Loss,1
481,bite,Yellow card,goalkeeper,opponent team penalty area,Uruguay,77,No Moon,1997,Win,3
482,not bite,yellow card,spectator,off field,Uruguay,62,Full,1997,Draw,1
483,not bite,Suspended for several games,midfielder,off field,Uruguay,5,Full,1997,Win,0
484,not bite,yellow card,forward,opponent team penalty area,Uruguay,38,No Moon,1997,Loss,0
485,not bite,Suspended for several games,journalist,off field,Uruguay,46,No Moon,1997,Draw,1
486,not bite,Yellow card,journalist,off field,Uruguay,84,Half,1998,Win,1
487,not bite,None,None,No location,Uruguay,90,Half,1998,Win,2
488,not bite,yellow card,midfielder,his team penalty area,Uruguay,35,Half,1998,Draw,1
489,not bite,Not Caught,forward,opponent team penalty area,Uruguay,57,Full,1998,Win,2
490,not bite,None,None,No location,Uruguay,90,Full,1998,Win,2
491,not bite,None,None,No location,Uruguay,90,Half,1998,Win,0
492,not bite,Not Caught,forward,off field,Uruguay,39,Half,1998,Draw,0
493,not bite,yellow card,goalkeeper,off field,Uruguay,58,Full,1998,Win,1
494,not bite,None,None,No location,Uruguay,90,No Moon,1998,Loss,3
495,not bite,Suspended for several games,spectator,off field,Uruguay,23,No Moon,1998,Draw,0
496,not bite,Red Card,midfielder,midfield,Uruguay,78,No Moon,1998,Loss,0
497,not bite,Yellow card,referee,opponent team penalty area,Uruguay,19,Full,1998,Win,2
498,not bite,Suspended for several games,goalkeeper,his team penalty area,Uruguay,10,Full,1998,Win,3
499,not bite,Not Caught,journalist,off field,Uruguay,2,Full,1998,Draw,3
500,bite,Not Caught,goalkeeper,opponent team penalty area,Uruguay,85,Full,1998,Loss,0
501,bite,Suspended for several games,journalist,off field,Uruguay,4,Full,1998,Loss,2
502,not bite,Not Caught,spectator,off field,Uruguay,76,Half,1998,Win,2
503,not bite,Yellow card,forward,midfield,Uruguay,58,No Moon,1998,Loss,1
504,not bite,None,None,No location,Uruguay,90,Full,1998,Win,2
505,not bite,Yellow card,referee,opponent team penalty area,Uruguay,32,No Moon,1998,Win,2
506,not bite,Suspended for several games,spectator,off field,Uruguay,26,No Moon,1998,Draw,1
507,not bite,Yellow card,goalkeeper,his team penalty area,Uruguay,14,No Moon,1998,Draw,0
508,not bite,Suspended for several games,None,his team penalty area,Uruguay,61,Full,1998,Win,1
509,bite,Suspended for several games,defender,midfield,Uruguay,80,No Moon,1998,Loss,0
510,bite,None,referee,his team penalty area,Uruguay,81,Full,1998,Win,3
511,not bite,Yellow card,None,opponent team penalty area,Uruguay,87,Half,1998,Draw,0
512,bite,Not Caught,goalkeeper,off field,Uruguay,82,Full,1998,Win,3
513,not bite,Not Caught,defender,midfield,Uruguay,62,No Moon,1998,Win,0
514,not bite,None,None,No location,Uruguay,90,No Moon,1998,Draw,1
515,bite,Not Caught,goalkeeper,his team penalty area,Uruguay,89,No Moon,1998,Draw,3
516,not bite,Yellow card,journalist,off field,Uruguay,50,Half,1998,Loss,1
517,not bite,Not Caught,defender,his team penalty area,Uruguay,5,No Moon,1998,Draw,0
518,not bite,None,None,No location,Uruguay,90,Half,1998,Loss,0
519,not bite,None,None,No location,Uruguay,90,No Moon,1998,Win,1
520,not bite,None,None,No location,Uruguay,90,No Moon,1998,Draw,1
521,bite,Not Caught,spectator,off field,Uruguay,47,Full,1998,Loss,1
522,not bite,None,None,No location,Uruguay,90,Full,1998,Draw,1
523,not bite,Suspended for several games,referee,opponent team penalty area,Uruguay,11,Full,1998,Loss,0
524,bite,Yellow card,forward,off field,Uruguay,88,Full,1998,Win,0
525,not bite,None,None,No location,Uruguay,90,Full,1998,Win,2
526,not bite,None,None,No location,Uruguay,90,Full,1998,Draw,2
527,bite,Red Card,referee,midfield,Uruguay,88,No Moon,1998,Loss,2
528,not bite,None,None,No location,Uruguay,90,Full,1998,Win,0
529,not bite,None,None,No location,Uruguay,90,Full,1998,Draw,0
530,not bite,Suspended for several games,referee,off field,Uruguay,25,No Moon,1998,Loss,1
531,not bite,None,None,No location,Uruguay,90,Full,1998,Win,0
532,not bite,yellow card,journalist,off field,Uruguay,40,Full,1998,Win,3
533,not bite,Red Card,forward,midfield,Uruguay,65,Half,1998,Draw,2
534,not bite,yellow card,forward,off field,Uruguay,73,Half,1998,Loss,1
535,not bite,None,None,No location,Uruguay,90,Full,1998,Win,1
536,not bite,None,None,No location,Uruguay,90,Half,1998,Draw,3
537,not bite,Suspended for several games,goalkeeper,his team penalty area,Uruguay,81,Full,1998,Draw,3
538,not bite,None,None,No location,Uruguay,90,No Moon,1998,Win,1
539,not bite,Not Caught,spectator,off field,Uruguay,24,No Moon,1998,Win,0
540,not bite,Not Caught,defender,his team penalty area,Uruguay,11,Full,1998,Loss,2
541,not bite,Not Caught,midfielder,off field,Uruguay,81,Full,1998,Loss,0
542,not bite,None,None,No location,Uruguay,90,Full,1998,Win,2
543,not bite,None,None,No location,Uruguay,90,Half,1998,Win,2
544,not bite,Suspended for several games,journalist,off field,Uruguay,42,Full,1998,Loss,0
545,not bite,Red Card,forward,midfield,Uruguay,89,No Moon,1998,Draw,2
546,bite,Red Card,journalist,off field,Uruguay,89,No Moon,1998,Draw,2
547,not bite,Red Card,forward,his team penalty area,Uruguay,83,Full,1998,Draw,2
548,not bite,Suspended for several games,goalkeeper,off field,Uruguay,37,Full,1998,Draw,0
549,not bite,None,journalist,off field,Uruguay,40,Half,1998,Win,3
550,not bite,Yellow card,midfielder,his team penalty area,Uruguay,24,Full,1998,Loss,2
551,bite,Not Caught,defender,midfield,Uruguay,90,Full,1998,Loss,0
552,not bite,None,None,No location,Uruguay,90,No Moon,1998,Win,1
553,bite,Yellow card,defender,midfield,Uruguay,84,Full,1999,Loss,0
554,not bite,yellow card,midfielder,midfield,Uruguay,1,Full,1999,Win,2
555,not bite,Yellow card,journalist,off field,Uruguay,3,No Moon,1999,Win,0
556,not bite,Suspended for several games,midfielder,opponent team penalty area,Uruguay,47,Full,1999,Win,0
557,not bite,None,None,No location,Uruguay,90,No Moon,1999,Draw,1
558,not bite,None,referee,midfield,Uruguay,13,Full,1999,Win,2
559,not bite,Yellow card,referee,midfield,Uruguay,50,No Moon,1999,Win,0
560,bite,None,journalist,off field,Uruguay,84,Full,1999,Win,3
561,not bite,None,None,No location,Uruguay,90,Full,1999,Loss,1
562,not bite,Not Caught,forward,opponent team penalty area,Uruguay,2,No Moon,1999,Win,0
563,not bite,None,None,No location,Uruguay,90,Full,1999,Win,2
564,not bite,Yellow card,referee,his team penalty area,Uruguay,70,Full,1999,Loss,1
565,not bite,None,journalist,off field,Uruguay,8,Full,1999,Loss,2
566,bite,Yellow card,referee,midfield,Uruguay,84,Full,1999,Win,2
567,bite,None,defender,off field,Uruguay,64,Half,1999,Win,1
568,not bite,None,None,No location,Uruguay,90,Half,1999,Loss,0
569,not bite,None,None,No location,Uruguay,90,Half,1999,Win,0
570,bite,Red Card,goalkeeper,opponent team penalty area,Uruguay,87,No Moon,1999,Draw,0
571,not bite,None,None,No location,Uruguay,90,No Moon,1999,Loss,2
572,not bite,Red Card,goalkeeper,his team penalty area,Uruguay,70,Full,1999,Loss,1
573,bite,Red Card,goalkeeper,off field,Uruguay,84,No Moon,1999,Win,0
574,not bite,Yellow card,goalkeeper,off field,Uruguay,48,No Moon,1999,Loss,2
575,not bite,None,None,No location,Uruguay,90,No Moon,1999,Win,1
576,not bite,Red Card,journalist,off field,Uruguay,90,Full,1999,Draw,3
577,bite,Red Card,spectator,off field,Uruguay,3,No Moon,1999,Win,1
578,not bite,None,referee,off field,Uruguay,40,Full,1999,Draw,2
579,not bite,None,None,No location,Uruguay,90,Full,1999,Win,1
580,bite,None,referee,midfield,Uruguay,81,Full,1999,Win,1
581,not bite,None,None,No location,Uruguay,90,Half,1999,Draw,1
582,not bite,Not Caught,goalkeeper,opponent team penalty area,Uruguay,9,Full,1999,Win,1
583,bite,Yellow card,spectator,off field,Uruguay,81,Full,1999,Win,1
584,bite,Red Card,defender,midfield,Uruguay,79,Full,1999,Win,1
585,not bite,Not Caught,spectator,off field,Uruguay,74,Full,1999,Draw,1
586,bite,Red Card,forward,his team penalty area,Uruguay,86,Full,1999,Win,0
587,bite,Yellow card,goalkeeper,midfield,Uruguay,66,Full,1999,Win,2
588,bite,Not Caught,None,midfield,Uruguay,1,Half,1999,Loss,0
589,not bite,None,None,No location,Uruguay,90,Full,1999,Loss,1
590,not bite,Suspended for several games,forward,midfield,Uruguay,73,Full,1999,Draw,1
591,not bite,yellow card,journalist,off field,Uruguay,31,Half,1999,Loss,2
592,bite,Suspended for several games,journalist,off field,Uruguay,80,No Moon,1999,Win,1
593,not bite,None,None,No location,Uruguay,90,Full,1999,Win,0
594,not bite,Yellow card,referee,midfield,Uruguay,74,Full,1999,Win,0
595,bite,None,referee,off field,Uruguay,88,No Moon,1999,Win,2
596,bite,Suspended for several games,forward,off field,Uruguay,11,Full,1999,Win,0
597,not bite,Red Card,goalkeeper,off field,Uruguay,47,No Moon,1999,Win,1
598,not bite,Yellow card,goalkeeper,opponent team penalty area,Uruguay,22,Half,1999,Loss,2
599,bite,Red Card,defender,off field,Uruguay,11,Full,1999,Win,0
600,not bite,None,None,No location,Uruguay,90,Full,1999,Draw,0
601,not bite,yellow card,None,midfield,Uruguay,16,Full,1999,Loss,1
602,bite,Not Caught,referee,off field,Uruguay,83,No Moon,1999,Loss,3
603,bite,Red Card,goalkeeper,off field,Uruguay,83,Full,1999,Win,1
604,not bite,yellow card,referee,his team penalty area,Uruguay,37,Full,1999,Win,1
605,bite,Suspended for several games,None,off field,Uruguay,62,Half,1999,Loss,2
606,bite,Suspended for several games,goalkeeper,off field,Uruguay,85,Full,1999,Win,0
607,not bite,None,None,No location,Uruguay,90,No Moon,1999,Win,2
608,not bite,Suspended for several games,journalist,off field,Uruguay,5,Full,1999,Win,0
609,not bite,Not Caught,journalist,off field,Uruguay,49,No Moon,1999,Loss,2
610,not bite,Not Caught,goalkeeper,opponent team penalty area,Uruguay,28,No Moon,1999,Draw,1
611,not bite,None,None,No location,Uruguay,90,No Moon,1999,Win,1
612,bite,Not Caught,journalist,off field,Uruguay,90,Half,1999,Loss,1
613,bite,Not Caught,journalist,off field,Uruguay,88,No Moon,1999,Loss,1
614,not bite,Red Card,defender,off field,Uruguay,35,Full,1999,Draw,1
615,bite,Red Card,forward,midfield,Uruguay,80,No Moon,1999,Win,0
616,not bite,None,referee,midfield,Uruguay,59,Half,1999,Win,2
617,not bite,None,None,No location,Uruguay,90,Half,1999,Draw,3
618,not bite,None,None,No location,Uruguay,90,Half,1999,Draw,4
619,not bite,None,referee,off field,Uruguay,10,No Moon,1999,Draw,0
620,not bite,None,None,No location,Uruguay,90,Full,1999,Win,1
621,not bite,Suspended for several games,spectator,off field,Uruguay,45,No Moon,1999,Draw,1
622,not bite,Red Card,goalkeeper,midfield,Uruguay,25,Half,1999,Win,0
623,not bite,Red Card,goalkeeper,off field,Uruguay,32,No Moon,1999,Loss,2
624,not bite,yellow card,defender,midfield,Uruguay,4,Full,1999,Loss,1
625,not bite,Yellow card,referee,opponent team penalty area,Uruguay,45,No Moon,1999,Draw,1
626,not bite,None,None,No location,Uruguay,90,No Moon,1999,Win,0
627,bite,Red Card,forward,midfield,Uruguay,87,Full,1999,Loss,1
628,bite,Red Card,defender,midfield,Uruguay,83,Full,1999,Draw,0
629,not bite,None,None,No location,Uruguay,90,Full,1999,Win,2
630,not bite,Yellow card,forward,opponent team penalty area,Uruguay,40,No Moon,1999,Win,0
631,not bite,yellow card,spectator,off field,Uruguay,35,Half,1999,Loss,2
632,not bite,None,None,No location,Uruguay,90,Full,1999,Win,1
633,not bite,Red Card,journalist,off field,Uruguay,20,Full,1999,Draw,0
634,not bite,Suspended for several games,journalist,off field,Uruguay,76,Full,1999,Win,0
635,not bite,Yellow card,defender,opponent team penalty area,Uruguay,35,Full,1999,Draw,1
636,not bite,Yellow card,midfielder,his team penalty area,Uruguay,20,Full,1999,Draw,0
637,bite,Red Card,forward,opponent team penalty area,Uruguay,84,No Moon,1999,Draw,0
638,not bite,Yellow card,defender,midfield,Uruguay,89,No Moon,1999,Win,0
639,bite,None,spectator,off field,Uruguay,71,Full,1999,Loss,0
640,not bite,Red Card,midfielder,opponent team penalty area,Uruguay,55,No Moon,1999,Draw,1
641,not bite,None,None,No location,Uruguay,90,No Moon,1999,Loss,0
642,bite,None,goalkeeper,his team penalty area,Uruguay,87,Half,1999,Loss,2
643,not bite,None,None,No location,Uruguay,90,Half,1999,Win,1
644,not bite,Not Caught,goalkeeper,his team penalty area,Uruguay,13,No Moon,1999,Win,1
645,not bite,None,None,No location,Uruguay,90,No Moon,1999,Win,1
646,bite,Not Caught,spectator,off field,Uruguay,75,Half,1999,Loss,0
647,not bite,Yellow card,forward,opponent team penalty area,Uruguay,88,No Moon,1999,Win,1
648,not bite,None,None,No location,Uruguay,90,Full,1999,Draw,1
649,bite,Suspended for several games,defender,his team penalty area,Uruguay,81,No Moon,2000,Loss,2
650,not bite,Yellow card,forward,off field,Uruguay,30,Full,2000,Win,0
651,not bite,Not Caught,midfielder,off field,Uruguay,23,Half,2000,Win,0
652,not bite,yellow card,journalist,off field,Uruguay,0,Full,2000,Loss,0
653,not bite,yellow card,referee,opponent team penalty area,Uruguay,2,Half,2000,Draw,1
654,not bite,None,None,No location,Uruguay,90,No Moon,2000,Loss,2
655,bite,Suspended for several games,defender,midfield,Uruguay,86,No Moon,2000,Loss,1
656,not bite,Yellow card,journalist,off field,Uruguay,24,No Moon,2000,Win,1
657,not bite,Suspended for several games,midfielder,his team penalty area,Uruguay,42,No Moon,2000,Loss,2
658,bite,Red Card,spectator,off field,Uruguay,84,No Moon,2000,Win,2
659,not bite,Suspended for several games,forward,opponent team penalty area,Uruguay,37,No Moon,2000,Draw,3
660,not bite,yellow card,midfielder,off field,Uruguay,1,Full,2000,Loss,0
661,not bite,Suspended for several games,spectator,off field,Uruguay,10,Full,2000,Win,0
662,bite,Yellow card,spectator,off field,Uruguay,48,Half,2000,Win,2
663,not bite,Not Caught,None,opponent team penalty area,Uruguay,23,Full,2000,Win,0
664,not bite,Suspended for several games,journalist,off field,Uruguay,25,Half,2000,Win,1
665,not bite,None,None,No location,Uruguay,90,Full,2000,Win,0
666,not bite,None,None,No location,Uruguay,90,Full,2000,Win,3
667,bite,Red Card,forward,off field,Uruguay,89,Full,2000,Win,1
668,not bite,None,None,No location,Uruguay,90,Full,2000,Win,1
669,not bite,None,None,No location,Uruguay,90,No Moon,2000,Win,0
670,bite,Suspended for several games,forward,his team penalty area,Uruguay,4,Full,2000,Win,2
671,not bite,yellow card,goalkeeper,opponent team penalty area,Uruguay,45,Full,2000,Draw,1
672,not bite,None,None,No location,Uruguay,90,No Moon,2000,Loss,2
673,not bite,Suspended for several games,referee,off field,Uruguay,53,Full,2000,Loss,1
674,not bite,Suspended for several games,forward,off field,Uruguay,3,Half,2000,Loss,2
675,not bite,Yellow card,spectator,off field,Uruguay,71,Full,2000,Win,0
676,not bite,yellow card,journalist,off field,Uruguay,8,Half,2000,Draw,1
677,not bite,Red Card,None,his team penalty area,Uruguay,41,No Moon,2000,Win,2
678,bite,Red Card,referee,midfield,Uruguay,85,Full,2000,Win,2
679,bite,Not Caught,journalist,off field,Uruguay,16,Full,2000,Win,1
680,not bite,Red Card,goalkeeper,off field,Uruguay,89,Half,2000,Win,0
681,not bite,Not Caught,spectator,off field,Uruguay,23,Full,2000,Loss,1
682,not bite,Suspended for several games,defender,opponent team penalty area,Uruguay,24,Full,2000,Draw,0
683,not bite,yellow card,midfielder,his team penalty area,Uruguay,72,No Moon,2000,Loss,0
684,not bite,None,None,No location,Uruguay,90,Half,2000,Win,2
685,not bite,None,None,No location,Uruguay,90,No Moon,2000,Draw,3
686,not bite,None,forward,off field,Uruguay,20,Full,2000,Win,0
687,not bite,Red Card,journalist,off field,Uruguay,78,Half,2000,Win,1
688,not bite,Yellow card,None,off field,Uruguay,41,No Moon,2000,Win,2
689,not bite,Yellow card,midfielder,his team penalty area,Uruguay,41,Full,2000,Loss,0
690,not bite,Not Caught,spectator,off field,Uruguay,7,Half,2000,Loss,0
691,not bite,None,spectator,off field,Uruguay,78,Half,2000,Win,0
692,not bite,Not Caught,referee,midfield,Uruguay,77,Full,2000,Draw,1
693,bite,None,midfielder,off field,Uruguay,6,No Moon,2000,Win,0
694,not bite,yellow card,None,his team penalty area,Uruguay,71,Full,2000,Win,1
695,bite,Suspended for several games,midfielder,off field,Uruguay,0,Full,2000,Win,0
696,not bite,None,None,No location,Uruguay,90,Full,2000,Loss,2
697,bite,None,forward,his team penalty area,Uruguay,37,Full,2000,Draw,2
698,not bite,None,None,No location,Uruguay,90,Full,2000,Loss,0
699,not bite,None,None,No location,Uruguay,90,Full,2000,Win,3
700,bite,Yellow card,spectator,off field,Uruguay,46,Full,2000,Win,2
701,not bite,None,None,No location,Uruguay,90,Half,2000,Win,0
702,not bite,Yellow card,midfielder,opponent team penalty area,Uruguay,52,Half,2000,Loss,3
703,not bite,Yellow card,midfielder,off field,Uruguay,58,Full,2000,Loss,0
704,not bite,Yellow card,goalkeeper,midfield,Uruguay,2,Full,2000,Loss,0
705,not bite,Suspended for several games,referee,opponent team penalty area,Uruguay,85,Full,2000,Win,0
706,bite,Suspended for several games,spectator,off field,Uruguay,86,Full,2000,Loss,0
707,not bite,yellow card,defender,opponent team penalty area,Uruguay,31,No Moon,2000,Draw,2
708,bite,Not Caught,spectator,off field,Uruguay,89,Half,2000,Draw,1
709,not bite,None,None,No location,Uruguay,90,No Moon,2000,Draw,0
710,not bite,None,None,No location,Uruguay,90,No Moon,2000,Loss,0
711,not bite,None,midfielder,his team penalty area,Uruguay,13,Full,2000,Draw,0
712,not bite,None,None,off field,Uruguay,1,Full,2000,Loss,0
713,not bite,None,None,No location,Uruguay,90,Full,2000,Loss,3
714,bite,None,None,midfield,Uruguay,33,Half,2000,Win,0
